"","Driver_ID","dr_city","dr_state","dr_contract","dr_commission","dr_paytype","dr_wkbase","dr_onduty","dr_status","Driver_Id","tenure(in_days)","last_ride","rides_in_last_1_month","rides_in_last_3_month","rides_in_last_6_month","rides_in_last_1_year","average_total_payment_1_month ","average_total_payment_3_month ","average_total_payment_6_month ","average_total_payment_1_year ","sum_total_payment_1_month ","sum_total_payment_3_month ","sum_total_payment_6_month ","sum_total_payment_1_year ","average_standard_payment_1_month ","average_standard_payment_3_month ","average_standard_payment_6_month ","average_standard_payment_1_year ","sum_standard_payment_1_month ","sum_standard_payment_3_month ","sum_standard_payment_6_month ","sum_standard_payment_1_year ","average_non_standard_payment_1_month ","average_non_standard_payment_3_month ","average_non_standard_payment_6_month ","average_non_standard_payment_1_year ","sum_non_standard_payment_1_month ","sum_non_standard_payment_3_month ","sum_non_standard_payment_6_month ","sum_non_standard_payment_1_year ","average_jobs_1_month ","average_jobs_3_month ","average_jobs_6_month ","average_jobs_1_year ","total_jobs_1_month ","total_jobs_3_month ","total_jobs_6_month ","total_jobs_1_year ","average_satisfaction_1_month ","average_satisfaction_3_month ","average_satisfaction_6_month ","average_satisfaction_1_year ","Tenure(in_categories)","churn_status"
"5731",116913025,"PROVIDENCE                    ","RI ",1,100,"COMMISSION","1",1,"107",116913025,212,2017-12-29,44,84,147,147,1163.13181818182,1093.96880952381,1029.98013605442,1029.98013605442,51177.8,91893.38,151407.08,151407.08,1163.13181818182,1087.445,1008.41551020408,1008.41551020408,51177.8,91345.38,148237.08,148237.08,0,6.52380952380952,21.5646258503401,21.5646258503401,0,548,3170,3170,10.5681818181818,10.7261904761905,12.734693877551,12.734693877551,465,901,1872,1872,0.575757575757576,0.53448275862069,0.53448275862069,0.53448275862069,"more than 6 month",FALSE
"5732",117160179,"LEOMINSTER                    ","MA ",1,100,"COMMISSION","1",1,"107",117160179,213,2017-12-30,50,96,165,165,1403.3468,1363.49791666667,1383.70387878788,1383.70387878788,70167.34,130895.8,228311.14,228311.14,1403.3468,1363.49791666667,1383.70387878788,1383.70387878788,70167.34,130895.8,228311.14,228311.14,0,0,0,0,0,0,0,0,14,14.4791666666667,14.8060606060606,14.8060606060606,700,1390,2443,2443,0.733333333333333,0.771929824561403,0.774193548387097,0.774193548387097,"more than 6 month",FALSE
"5733",117662990,"LITHONIA                      ","GA ",1,100,"COMMISSION","1",0,"236",117662990,86,2017-08-25,0,0,62,62,0,0,882.532258064516,882.532258064516,0,0,54717,54717,0,0,882.532258064516,882.532258064516,0,0,54717,54717,0,0,0,0,0,0,0,0,0,0,14.6290322580645,14.6290322580645,0,0,907,907,0.5,0.5,0.283018867924528,0.283018867924528,"less than or equal to 3 month",TRUE
"5734",118964800,"ROMEOVILLE                    ","IL ",1,100,"COMMISSION","1",1,"107",118964800,210,2017-12-27,30,62,116,116,508.903333333333,523.355483870968,496.094310344828,496.094310344828,15267.1,32448.04,57546.94,57546.94,482.583333333333,481.58064516129,461.940948275862,461.940948275862,14477.5,29858,53585.15,53585.15,26.32,41.7748387096774,34.1533620689655,34.1533620689655,789.6,2590.04,3961.79,3961.79,12.7333333333333,12.5161290322581,12.7586206896552,12.7586206896552,382,776,1480,1480,0.666666666666667,0.75,0.75,0.75,"more than 6 month",FALSE
"5736",119227196,"SANTA ANA                     ","CA ",1,100,"WEEKLY    ","1",1,"107",119227196,1,2017-08-10,0,0,1,1,0,0,1008,1008,0,0,1008,1008,0,0,1008,1008,0,0,1008,1008,0,0,0,0,0,0,0,0,0,0,14,14,0,0,14,14,0.5,0.5,0.5,0.5,"less than or equal to a month",TRUE
"5737",119256510,"SPRINGFIELD                   ","MA ",1,100,"COMMISSION","1",0,"236",119256510,213,2017-12-30,42,82,146,146,1110.19238095238,1106.53780487805,1131.38869863014,1131.38869863014,46628.08,90736.1,165182.75,165182.75,1110.19238095238,1106.53780487805,1131.38869863014,1131.38869863014,46628.08,90736.1,165182.75,165182.75,0,0,0,0,0,0,0,0,17.8571428571429,18.0487804878049,18.3493150684932,18.3493150684932,750,1480,2679,2679,0.5,0.5,0.5,0.5,"more than 6 month",FALSE
"5738",120714381,"SYRACUSE                      ","NY ",1,100,"COMMISSION","1",1,"107",120714381,73,2017-12-29,6,7,7,7,1595.84333333333,1397.86571428571,1397.86571428571,1397.86571428571,9575.06,9785.06,9785.06,9785.06,1595.84333333333,1397.86571428571,1397.86571428571,1397.86571428571,9575.06,9785.06,9785.06,9785.06,0,0,0,0,0,0,0,0,12.1666666666667,11.4285714285714,11.4285714285714,11.4285714285714,73,80,80,80,0.833333333333333,0.857142857142857,0.857142857142857,0.857142857142857,"less than or equal to 3 month",FALSE
"5739",121894453,"MANCHESTER                    ","NH ",1,100,"COMMISSION","1",0,"236",121894453,40,2017-07-12,0,0,10,10,0,0,1101.8,1101.8,0,0,11018,11018,0,0,1099.8,1099.8,0,0,10998,10998,0,0,2,2,0,0,20,20,0,0,17.7,17.7,0,0,177,177,0.5,0.5,0.6,0.6,"less than or equal to 3 month",TRUE
"5740",123108817,"NEW BALTIMORE                 ","MI ",1,100,"COMMISSION","1",0,"236",123108817,84,2017-08-23,0,0,33,33,0,0,1102.99757575758,1102.99757575758,0,0,36398.92,36398.92,0,0,1102.99757575758,1102.99757575758,0,0,36398.92,36398.92,0,0,0,0,0,0,0,0,0,0,15.1212121212121,15.1212121212121,0,0,499,499,0.5,0.5,0.304347826086957,0.304347826086957,"less than or equal to 3 month",TRUE
"5741",123633252,"NEW BALTIMORE                 ","MI ",1,100,"COMMISSION","1",0,"236",123633252,79,2017-08-18,0,0,76,76,0,0,1086.31578947368,1086.31578947368,0,0,82560,82560,0,0,1086.31578947368,1086.31578947368,0,0,82560,82560,0,0,0,0,0,0,0,0,0,0,15.4868421052632,15.4868421052632,0,0,1177,1177,0.5,0.5,0.6,0.6,"less than or equal to 3 month",TRUE
"5742",123642145,"NEW BALTIMORE                 ","MI ",1,100,"COMMISSION","1",0,"236",123642145,79,2017-08-18,0,0,61,61,0,0,1180.03278688525,1180.03278688525,0,0,71982,71982,0,0,1180.03278688525,1180.03278688525,0,0,71982,71982,0,0,0,0,0,0,0,0,0,0,16.3114754098361,16.3114754098361,0,0,995,995,0.5,0.5,0.533333333333333,0.533333333333333,"less than or equal to 3 month",TRUE
"5743",123642223,"NEW BALTIMORE                 ","MI ",1,100,"COMMISSION","1",0,"236",123642223,78,2017-08-17,0,0,72,72,0,0,1116.80555555556,1116.80555555556,0,0,80410,80410,0,0,1116.80555555556,1116.80555555556,0,0,80410,80410,0,0,0,0,0,0,0,0,0,0,15.9444444444444,15.9444444444444,0,0,1148,1148,0.5,0.5,0.492753623188406,0.492753623188406,"less than or equal to 3 month",TRUE
"5744",123771081,"NEW BALTIMORE                 ","MI ",1,100,"COMMISSION","1",0,"236",123771081,47,2017-10-21,0,5,5,5,0,1226.496,1226.496,1226.496,0,6132.48,6132.48,6132.48,0,1226.496,1226.496,1226.496,0,6132.48,6132.48,6132.48,0,0,0,0,0,0,0,0,0,16.8,16.8,16.8,0,84,84,84,0.5,0.5,0.5,0.5,"less than or equal to 3 month",FALSE
"5745",124016122,"NEW BALTIMORE                 ","MI ",1,100,"COMMISSION","1",0,"236",124016122,79,2017-08-18,0,0,56,56,0,0,1122.60714285714,1122.60714285714,0,0,62866,62866,0,0,1122.60714285714,1122.60714285714,0,0,62866,62866,0,0,0,0,0,0,0,0,0,0,16.625,16.625,0,0,931,931,0.5,0.5,0.462962962962963,0.462962962962963,"less than or equal to 3 month",TRUE
"5746",124020021,"NEW BALTIMORE                 ","MI ",1,100,"COMMISSION","1",0,"236",124020021,79,2017-08-18,0,0,65,65,0,0,1198.70769230769,1198.70769230769,0,0,77916,77916,0,0,1198.70769230769,1198.70769230769,0,0,77916,77916,0,0,0,0,0,0,0,0,0,0,16.0307692307692,16.0307692307692,0,0,1042,1042,0.5,0.5,0.5625,0.5625,"less than or equal to 3 month",TRUE
"5747",124021710,"NEW BALTIMORE                 ","MI ",1,100,"COMMISSION","1",0,"236",124021710,82,2017-08-21,0,0,77,77,0,0,1131.95636363636,1131.95636363636,0,0,87160.64,87160.64,0,0,1131.95636363636,1131.95636363636,0,0,87160.64,87160.64,0,0,0,0,0,0,0,0,0,0,15.8311688311688,15.8311688311688,0,0,1219,1219,0.5,0.5,0.573333333333333,0.573333333333333,"less than or equal to 3 month",TRUE
"5748",124146568,"NEW BALTIMORE                 ","MI ",1,100,"COMMISSION","1",0,"236",124146568,79,2017-08-18,0,0,65,65,0,0,1121.96923076923,1121.96923076923,0,0,72928,72928,0,0,1121.96923076923,1121.96923076923,0,0,72928,72928,0,0,0,0,0,0,0,0,0,0,15.6461538461538,15.6461538461538,0,0,1017,1017,0.5,0.5,0.415384615384615,0.415384615384615,"less than or equal to 3 month",TRUE
"5749",124148703,"NEW BALTIMORE                 ","MI ",1,100,"COMMISSION","1",0,"236",124148703,3,2017-07-28,0,0,2,2,0,0,1161,1161,0,0,2322,2322,0,0,1161,1161,0,0,2322,2322,0,0,0,0,0,0,0,0,0,0,15.5,15.5,0,0,31,31,0.5,0.5,0,0,"less than or equal to a month",TRUE
"5750",124627429,"NEW BALTIMORE                 ","MI ",1,100,"COMMISSION","1",0,"236",124627429,78,2017-08-17,0,0,59,59,0,0,1113.62711864407,1113.62711864407,0,0,65704,65704,0,0,1113.62711864407,1113.62711864407,0,0,65704,65704,0,0,0,0,0,0,0,0,0,0,15.4745762711864,15.4745762711864,0,0,913,913,0.5,0.5,0.362068965517241,0.362068965517241,"less than or equal to 3 month",TRUE
"5751",124628909,"NEW BALTIMORE                 ","MI ",1,100,"COMMISSION","1",0,"236",124628909,78,2017-08-18,0,0,50,50,0,0,1226.36,1226.36,0,0,61318,61318,0,0,1226.36,1226.36,0,0,61318,61318,0,0,0,0,0,0,0,0,0,0,17.18,17.18,0,0,859,859,0.5,0.5,0.38,0.38,"less than or equal to 3 month",TRUE
"5752",124854743,"NEW BALTIMORE                 ","MI ",1,100,"COMMISSION","1",0,"236",124854743,55,2017-07-25,0,0,30,30,0,0,280.933333333333,280.933333333333,0,0,8428,8428,0,0,280.933333333333,280.933333333333,0,0,8428,8428,0,0,0,0,0,0,0,0,0,0,3.5,3.5,0,0,105,105,0.5,0.5,0.846153846153846,0.846153846153846,"less than or equal to 3 month",TRUE
"5753",125066001,"ENFIELD                       ","CT ",1,100,"COMMISSION","1",1,"107",125066001,213,2017-12-30,43,86,155,155,1488.83720930233,1691.86046511628,1691.93548387097,1691.93548387097,64020,145500,262250,262250,1488.83720930233,1691.86046511628,1691.93548387097,1691.93548387097,64020,145500,262250,262250,0,0,0,0,0,0,0,0,1.53488372093023,1.74418604651163,1.8258064516129,1.8258064516129,66,150,283,283,0.5,0.5,1,1,"more than 6 month",FALSE
"5754",125871220,"NEW BALTIMORE                 ","MI ",1,100,"COMMISSION","1",0,"236",125871220,78,2017-08-17,0,0,53,53,0,0,1064.45283018868,1064.45283018868,0,0,56416,56416,0,0,1064.45283018868,1064.45283018868,0,0,56416,56416,0,0,0,0,0,0,0,0,0,0,15.4150943396226,15.4150943396226,0,0,817,817,0.5,0.5,0.490196078431373,0.490196078431373,"less than or equal to 3 month",TRUE
"5755",126132417,"SEFFNER                       ","FL ",1,100,"COMMISSION","1",1,"107",126132417,207,2017-12-29,46,83,129,129,862.922826086957,844.776626506024,848.301007751938,848.301007751938,39694.45,70116.46,109430.83,109430.83,855.444130434783,826.777831325301,825.841317829457,825.841317829457,39350.43,68622.56,106533.53,106533.53,7.47869565217391,17.9987951807229,22.4596899224806,22.4596899224806,344.02,1493.9,2897.3,2897.3,11.8260869565217,11.4457831325301,11.2480620155039,11.2480620155039,544,950,1451,1451,0.761904761904762,0.75,0.724137931034483,0.724137931034483,"more than 6 month",FALSE
"5756",126622615,"BRAMPTON                      ","ON ",1,0,"DAILY     ","1",1,"107",126622615,213,2017-12-30,28,61,136,136,12.8571428571429,28.327868852459,27.0588235294118,27.0588235294118,360,1728,3680,3680,12.8571428571429,28.327868852459,27.0588235294118,27.0588235294118,360,1728,3680,3680,0,0,0,0,0,0,0,0,1.57142857142857,2.57377049180328,3.625,3.625,44,157,493,493,1,0.944444444444444,0.79,0.79,"more than 6 month",FALSE
