"","Driver_Id","max_rides_to_city","Avg_dist","Total_dist"
"147",56582,"JBLM",22.1272727272727,243.4
"148",56549,"LOS ANGELES",26.9343629343629,6976
"149",56478,"WORCESTER",7.80713815789474,2373.37
"150",56514,"SYRACUSE",16.870641025641,1315.91
"151",56577,"HOUSTON",17.2285626911315,5633.74
"152",56454,"FORT LAUDERDALE",10.9534893617021,2574.07
"153",56488,"ATLANTA",0,0
"154",56568,"NEW CITY",10.6590731707317,2185.11
"155",56681,"COLUMBUS",111.649921875,42873.57
"156",56689,"CANTON",37.14,371.4
"157",56720,"WAYNE",13.6627142857143,5738.34
"158",56587,"DECATUR",17.7727272727273,195.5
"159",56682,"OSTERVILLE",110.254545454545,1212.8
"160",56698,"TAMPA",75.3055893536122,19805.37
"161",56767,"IRVINE",33.7298181818182,1855.14
"162",56652,"GRAND RAPIDS",143.472897196262,15351.6
"163",56824,"BROOKLYN",22.5104255319149,2115.98
"164",56830,"ELIZABETH",59.9621578947368,11392.81
"165",56836,"ATLANTA",38.7774820143885,10780.14
"166",56815,"EAST STROUDSBURG",13.1385119047619,4414.54
"167",56846,"NEW YORK",61.7337996219282,32657.18
"168",56778,"HOUSTON",11.8206896551724,342.8
"169",56793,"LONG BEACH",30.6961224489796,4512.33
"170",56893,"IRVINE",39.4242489270386,9185.85
"171",56926,"DENVER",35.7652914110429,23318.97
"172",56958,"OAKLAND",12.4551724137931,361.2
"173",57045,"Atkinson",429.35,4293.5
"174",57009,"SANTA ANA",1.2,4.8
"175",56854,"Staten Island",223.791440677966,26407.39
"176",56973,"Lakewood",48.3326229508197,8844.87
"177",56964,"DANVILLE",17.55,351
"178",57255,"ATLANTA",43.3028260869565,7967.72
"179",57257,"WORCESTER",54.2829780033841,32081.24
"180",57215,"New York",154.405714285714,1080.84
"181",56957,"RANCHO CUCAMONGA",10.4139534883721,3134.6
"182",56981,"CHATTANOOGA",7.77,46.62
"183",57140,"Miami",15.0337931034483,3487.84
"184",57220,"NEW HAVEN",7.76020833333333,1862.45
"185",57248,"PLATTE CITY",54.9395867768595,6647.69
"186",57254,"ATLANTA",24.6664161849711,4267.29
"187",57324,"WOONSOCKET",8.46297872340426,397.76
"188",57518,"WAPPINGERS FALLS",49.3326345609065,17414.42
"189",57528,"AUSTIN",38.9504423076923,20254.23
"190",57285,"CAPE CORAL",119.583052208835,29776.18
"191",57300,"Jacksonville",40.2466666666667,4950.34
"192",57532,"RAYMOND",5.50352941176471,467.8
"193",57402,"Minneapolis",16.4781355932203,2916.63
"194",57489,"TAMPA",41.3670697674419,8893.92
"195",57542,"Rogers",341.345871559633,37206.7
"196",57548,"Chicago",44.173786407767,4549.9
"197",57632,"MINNEAPOLIS",81.751327014218,17249.53
"198",57651,"ALPHARETTA",0,0
"199",57468,"NORTHBOROUGH",15.6090909090909,171.7
"200",57644,"TULSA",139.588965517241,4048.08
"201",57665,"PHOENIX",59.3317985611511,16494.24
"202",57678,"MESA",34.777743902439,5703.55
"203",57801,"SALT LAKE CITY",94.1721621621622,10453.11
"204",57677,"PHOENIX",53.3534870317003,18513.66
"205",57663,"BUCKEYE",57.8551652892562,14000.95
"206",57667,"SAN TAN VALLEY",46.3553846153846,1205.24
"207",57669,"PHOENIX",48.1930805687204,10168.74
"208",57825,"NATICK",6.74107142857143,188.75
"209",57952,"WOBURN",7.31292929292929,2895.92
"210",57891,"WEST HAVEN",15.6660962566845,5859.12
"211",57873,"BRISTOL",7.66111111111111,137.9
"212",57994,"WALNUT CREEK",19.1153846153846,497
"213",58027,"Portland",141.441818181818,17114.46
"214",57872,"STRATFORD",10.688753894081,3431.09
"215",57938,"NORWALK",13.8674193548387,3439.12
"216",57855,"ENCINITAS",74.5682300884956,8426.21
"217",57970,"SAN FRANCISCO",12.1542456140351,3463.96
"218",58040,"ORLANDO",32.5940254237288,7692.19
"219",58054,"GILBERT",87.0933076923077,11322.13
"220",58056,"LIVERMORE",6.36363636363636,140
"221",58069,"STROUDSBURG",8.57253787878788,2263.15
"222",58038,"OLD BRIDGE",17.2936386138614,6986.63
"223",58086,"ALLENTOWN",8.06428191489362,3032.17
"224",58076,"Miami",323.453055555556,23288.62
"225",58111,"NASHUA",7.6725,859.32
"226",58194,"Salt Lake City",222.064784172662,61734.01
"227",58245,"COLUMBUS",61.9401432664756,21617.11
"228",58125,"CLIFTON",6.38140939597315,1901.66
"229",58147,"DULUTH",670.511785714286,56322.99
"230",58102,"MARQUETTE",59.3711458333333,5699.63
"231",58184,"JACKSONVILLE",10.6229893238434,2985.06
"232",58263,"CHICAGO",92.6954006968641,26603.58
"233",58366,"OTTAWA",6.15198198198198,1365.74
"234",58273,"LONDON",8.59183431952663,1452.02
"235",58357,"AKRON",32.3673728813559,3819.35
"236",58392,"MASSAPEQUA",8.84227146814404,3192.06
"237",58299,"STATEN ISLAND",4.66170900692841,2018.52
"238",58326,"BRONX",21.0158024691358,3404.56
"239",58448,"ATLANTA",22.8335350318471,7169.73
"240",58561,"STERLING",7.04401253918495,2247.04
