"","dr_contract","dr_commission","dr_paytype","dr_wkbase","dr_status","tenure(in_days)","rides_in_last_1_month","rides_in_last_3_month","rides_in_last_6_month","rides_in_last_1_year","average_total_payment_1_month","average_total_payment_3_month","average_total_payment_6_month","average_total_payment_1_year","sum_total_payment_1_month","sum_total_payment_3_month","sum_total_payment_6_month","sum_total_payment_1_year","average_standard_payment_1_month","average_standard_payment_3_month","average_standard_payment_6_month","average_standard_payment_1_year","sum_standard_payment_1_month","sum_standard_payment_3_month","sum_standard_payment_6_month","sum_standard_payment_1_year","average_non_standard_payment_1_month","average_non_standard_payment_3_month","average_non_standard_payment_6_month","average_non_standard_payment_1_year","sum_non_standard_payment_1_month","sum_non_standard_payment_3_month","sum_non_standard_payment_6_month","sum_non_standard_payment_1_year","average_jobs_1_month","average_jobs_3_month","average_jobs_6_month","average_jobs_1_year","total_jobs_1_month","total_jobs_3_month","total_jobs_6_month","total_jobs_1_year","average_satisfaction_1_month","average_satisfaction_3_month","average_satisfaction_6_month","average_satisfaction_1_year","Tenure(in_categories)","churn_status"
"47",1,100,1,1,2,217,1,20,85,126,608,858.8,745.129411764706,801.666666666667,608,17176,63336,101010,608,858.8,745.129411764706,801.666666666667,608,17176,63336,101010,0,0,0,0,0,0,0,0,11,15,12.3764705882353,13.547619047619,11,300,1052,1707,1,0.578947368421053,0.55,0.573770491803279,3,0
"48",1,100,1,2,2,40,0,0,0,40,0,0,0,915.25,0,0,0,36610,0,0,0,915.25,0,0,0,36610,0,0,0,0,0,0,0,0,0,0,0,18.025,0,0,0,721,0.5,0.5,0.5,0.394736842105263,1,1
"49",1,100,1,1,1,132,0,0,5,66,0,0,616,898.916666666667,0,0,3080,59328.5,0,0,616,898.916666666667,0,0,3080,59328.5,0,0,0,0,0,0,0,0,0,0,13.8,16.8939393939394,0,0,69,1115,0.5,0.5,0.25,0.484375,4,0
"50",1,100,1,2,1,239,21,68,132,177,620.380952380952,691.661764705882,819.909090909091,903.920903954802,13028,47033,108228,159994,620.380952380952,691.661764705882,819.909090909091,902.293785310735,13028,47033,108228,159706,0,0,0,1.6271186440678,0,0,0,288,8.14285714285714,8.75,10.3333333333333,11.2542372881356,171,595,1364,1992,0.5,0.5,0.5,0.5,3,0
"51",1,100,1,2,1,1,1,1,1,1,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,1,1,1,1,2,0
"52",1,100,1,1,1,245,17,58,121,171,688.235294117647,722.172413793103,759.314049586777,859.187134502924,11700,41886,91877,146921,688.235294117647,722.172413793103,759.314049586777,859.187134502924,11700,41886,91877,146921,0,0,0,0,0,0,0,0,10.2941176470588,10.948275862069,12.4793388429752,14.4970760233918,175,635,1510,2479,0.647058823529412,0.6,0.580357142857143,0.571428571428571,3,0
"53",1,100,1,1,1,2,0,0,2,2,0,0,476.4,476.4,0,0,952.8,952.8,0,0,476.4,476.4,0,0,952.8,952.8,0,0,0,0,0,0,0,0,0,0,5.5,5.5,0,0,11,11,0.5,0.5,0.5,0.5,2,1
"54",1,0,2,1,1,245,31,89,178,237,0,0.49438202247191,0.247191011235955,0.185654008438819,0,44,44,44,0,0.49438202247191,0.247191011235955,0.185654008438819,0,44,44,44,0,0,0,0,0,0,0,0,8.03225806451613,8.47191011235955,7.80337078651685,7.59071729957806,249,754,1389,1799,0.724137931034483,0.764705882352941,0.739644970414201,0.697777777777778,3,0
"55",1,100,1,2,2,120,0,0,56,117,0,0,413.982142857143,493.641025641026,0,0,23183,57756,0,0,413.982142857143,493.641025641026,0,0,23183,57756,0,0,0,0,0,0,0,0,0,0,7.98214285714286,9.25641025641026,0,0,447,1083,0.5,0.5,0.711111111111111,0.6,4,1
"56",1,100,1,1,2,15,0,0,0,7,0,0,0,1033.71428571429,0,0,0,7236,0,0,0,947.142857142857,0,0,0,6630,0,0,0,86.5714285714286,0,0,0,606,0,0,0,16,0,0,0,112,0.5,0.5,0.5,0.714285714285714,2,1
