"","X1","Driver_ID","dr_city","dr_state","dr_contract","dr_commission","dr_paytype","dr_wkbase","dr_onduty","dr_status","Driver_Id","tenure(in_days)","last_ride","rides_in_last_1_month","rides_in_last_3_month","rides_in_last_6_month","rides_in_last_1_year","average_total_payment_1_month","average_total_payment_3_month","average_total_payment_6_month","average_total_payment_1_year","sum_total_payment_1_month","sum_total_payment_3_month","sum_total_payment_6_month","sum_total_payment_1_year","average_standard_payment_1_month","average_standard_payment_3_month","average_standard_payment_6_month","average_standard_payment_1_year","sum_standard_payment_1_month","sum_standard_payment_3_month","sum_standard_payment_6_month","sum_standard_payment_1_year","average_non_standard_payment_1_month","average_non_standard_payment_3_month","average_non_standard_payment_6_month","average_non_standard_payment_1_year","sum_non_standard_payment_1_month","sum_non_standard_payment_3_month","sum_non_standard_payment_6_month","sum_non_standard_payment_1_year","average_jobs_1_month","average_jobs_3_month","average_jobs_6_month","average_jobs_1_year","total_jobs_1_month","total_jobs_3_month","total_jobs_6_month","total_jobs_1_year","average_satisfaction_1_month","average_satisfaction_3_month","average_satisfaction_6_month","average_satisfaction_1_year","Tenure(in_categories)","churn_status"
"152",160,55022,"SOUTH GATE","CA",1,100,"COMMISSION","1",1,107,55022,164,2017-11-11,0,0,0,134,0,0,0,657.553432835821,0,0,0,88112.16,0,0,0,650.297014925373,0,0,0,87139.8,0,0,0,7.25641791044776,0,0,0,972.36,0,0,0,9.86567164179104,0,0,0,1322,0.5,0.5,0.5,0.772277227722772,"less than or equal to 6 month",FALSE
"153",161,55033,"DAYTON","TX",1,100,"COMMISSION","1",1,107,55033,207,2017-12-24,0,0,0,165,0,0,0,718.909090909091,0,0,0,118620,0,0,0,718.909090909091,0,0,0,118620,0,0,0,0,0,0,0,0,0,0,0,14.7757575757576,0,0,0,2438,0.5,0.5,0.5,0.401315789473684,"more than 6 month",FALSE
"154",162,55035,"SAN YSIDRO","CA",1,100,"COMMISSION","Not Specified",1,107,55035,184,2017-12-04,0,0,0,37,0,0,0,723.181351351351,0,0,0,26757.71,0,0,0,723.181351351351,0,0,0,26757.71,0,0,0,0,0,0,0,0,0,0,0,13.6486486486486,0,0,0,505,0.5,0.5,0.5,0.5,"more than 6 month",FALSE
"155",163,55037,"HUNTINGTON PARK","CA",1,100,"COMMISSION","1",0,236,55037,213,2017-12-30,0,0,0,146,0,0,0,526.869863013699,0,0,0,76923,0,0,0,526.869863013699,0,0,0,76923,0,0,0,0,0,0,0,0,0,0,0,8.68493150684932,0,0,0,1268,0.5,0.5,0.5,0.664179104477612,"more than 6 month",FALSE
"156",164,55044,"SANTA ANA","CA",1,100,"COMMISSION","Not Specified",1,107,55044,145,2017-12-29,0,0,0,115,0,0,0,728.321739130435,0,0,0,83757,0,0,0,728.238956521739,0,0,0,83747.48,0,0,0,0.0827826086956522,0,0,0,9.52,0,0,0,7.87826086956522,0,0,0,906,0.5,0.5,0.5,0.5,"less than or equal to 6 month",FALSE
"157",165,55051,"LOS ANGELES","CA",1,100,"COMMISSION","Not Specified",1,107,55051,95,2017-12-27,0,0,0,2,0,0,0,948,0,0,0,1896,0,0,0,948,0,0,0,1896,0,0,0,0,0,0,0,0,0,0,0,14.5,0,0,0,29,0.5,0.5,0.5,0.5,"less than or equal to 6 month",FALSE
"158",166,55054,"SANTA ANA","CA",1,100,"COMMISSION","Not Specified",1,107,55054,2,2017-11-17,0,0,0,2,0,0,0,491.13,0,0,0,982.26,0,0,0,491.13,0,0,0,982.26,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,13,0.5,0.5,0.5,1,"less than or equal to a month",FALSE
"159",167,55055,"LOS ANGELES","CA",1,100,"COMMISSION","1",1,107,55055,132,2017-12-30,0,0,0,114,0,0,0,730.315789473684,0,0,0,83256,0,0,0,730.315789473684,0,0,0,83256,0,0,0,0,0,0,0,0,0,0,0,14.2017543859649,0,0,0,1619,0.5,0.5,0.5,0.5,"less than or equal to 6 month",FALSE
"160",168,55059,"LOS ANGELES","CA",1,100,"COMMISSION","Not Specified",1,107,55059,1,2017-11-25,0,0,0,1,0,0,0,1817,0,0,0,1817,0,0,0,1817,0,0,0,1817,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,25,0.5,0.5,0.5,0.5,"less than or equal to a month",FALSE
"161",169,55060,"HOUSTON","TX",1,100,"COMMISSION","1",1,107,55060,212,2017-12-29,0,0,0,124,0,0,0,1506.83838709677,0,0,0,186847.96,0,0,0,1427.37016129032,0,0,0,176993.9,0,0,0,79.4682258064516,0,0,0,9854.06,0,0,0,10.2741935483871,0,0,0,1274,0.5,0.5,0.5,0.666666666666667,"more than 6 month",FALSE
"162",170,55068,"HOUSTON","TX",1,100,"COMMISSION","Not Specified",1,107,55068,5,2017-09-13,0,0,0,5,0,0,0,604.8,0,0,0,3024,0,0,0,604.8,0,0,0,3024,0,0,0,0,0,0,0,0,0,0,0,10.2,0,0,0,51,0.5,0.5,0.5,1,"less than or equal to a month",TRUE
"163",171,55081,"CANTON","OH",1,100,"COMMISSION","1",0,236,55081,108,2017-09-18,0,0,0,7,0,0,0,487.727142857143,0,0,0,3414.09,0,0,0,487.727142857143,0,0,0,3414.09,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,49,0.5,0.5,0.5,1,"less than or equal to 6 month",TRUE
