"","Driver_ID","dr_city","dr_state","dr_contract","dr_commission","dr_paytype","dr_wkbase","dr_onduty","dr_status","Driver_Id","tenure(in_days)","last_ride","rides_in_last_1_month","rides_in_last_3_month","rides_in_last_6_month","rides_in_last_1_year","average_total_payment_1_month","average_total_payment_3_month","average_total_payment_6_month","average_total_payment_1_year","sum_total_payment_1_month","sum_total_payment_3_month","sum_total_payment_6_month","sum_total_payment_1_year","average_standard_payment_1_month","average_standard_payment_3_month","average_standard_payment_6_month","average_standard_payment_1_year","sum_standard_payment_1_month","sum_standard_payment_3_month","sum_standard_payment_6_month","sum_standard_payment_1_year","average_non_standard_payment_1_month","average_non_standard_payment_3_month","average_non_standard_payment_6_month","average_non_standard_payment_1_year","sum_non_standard_payment_1_month","sum_non_standard_payment_3_month","sum_non_standard_payment_6_month","sum_non_standard_payment_1_year","average_jobs_1_month","average_jobs_3_month","average_jobs_6_month","average_jobs_1_year","total_jobs_1_month","total_jobs_3_month","total_jobs_6_month","total_jobs_1_year","average_satisfaction_1_month","average_satisfaction_3_month","average_satisfaction_6_month","average_satisfaction_1_year","Tenure(in_categories)","churn_status"
"4374",72956,"ALBANY                        ","NY ",1,100,"COMMISSION","NULL",1,"107",72956,40,2018-01-30,1,3,3,3,1419.34,584.486666666667,584.486666666667,584.486666666667,1419.34,1753.46,1753.46,1753.46,1419.34,491.553333333333,491.553333333333,491.553333333333,1419.34,1474.66,1474.66,1474.66,0,92.9333333333333,92.9333333333333,92.9333333333333,0,278.8,278.8,278.8,11,7.66666666666667,7.66666666666667,7.66666666666667,11,23,23,23,1,1,1,1,"less than or equal to 3 month",FALSE
"4375",72964,"SAN ANTONIO                   ","TX ",1,100,"COMMISSION","NULL",1,"107",72964,37,2018-01-31,26,31,31,31,1262.85153846154,1212.83032258065,1212.83032258065,1212.83032258065,32834.14,37597.74,37597.74,37597.74,852.879230769231,724.466451612903,724.466451612903,724.466451612903,22174.86,22458.46,22458.46,22458.46,409.972307692308,488.363870967742,488.363870967742,488.363870967742,10659.28,15139.28,15139.28,15139.28,12.8846153846154,11.1290322580645,11.1290322580645,11.1290322580645,335,345,345,345,0.529411764705882,0.529411764705882,0.529411764705882,0.529411764705882,"less than or equal to 3 month",FALSE
"4376",72966,"LAUREL                        ","MD ",1,100,"COMMISSION","0",1,"107",72966,30,2018-01-27,9,11,11,11,550.888888888889,551.636363636364,551.636363636364,551.636363636364,4958,6068,6068,6068,550.888888888889,551.636363636364,551.636363636364,551.636363636364,4958,6068,6068,6068,0,0,0,0,0,0,0,0,15.1111111111111,14.8181818181818,14.8181818181818,14.8181818181818,136,163,163,163,0.555555555555556,0.545454545454545,0.545454545454545,0.545454545454545,"less than or equal to a month",FALSE
"4377",72975,"HOUSTON                       ","TX ",1,100,"COMMISSION","NULL",0,"236",72975,28,2018-01-27,22,23,23,23,566.181818181818,544.695652173913,544.695652173913,544.695652173913,12456,12528,12528,12528,566.181818181818,544.695652173913,544.695652173913,544.695652173913,12456,12528,12528,12528,0,0,0,0,0,0,0,0,13.9545454545455,13.3913043478261,13.3913043478261,13.3913043478261,307,308,308,308,0.5,0.5,0.5,0.5,"less than or equal to a month",FALSE
"4378",72977,"EDMONTON                      ","AB ",1,100,"COMMISSION","0",0,"236",72977,17,2018-01-31,14,14,14,14,822.857142857143,822.857142857143,822.857142857143,822.857142857143,11520,11520,11520,11520,822.857142857143,822.857142857143,822.857142857143,822.857142857143,11520,11520,11520,11520,0,0,0,0,0,0,0,0,3.35714285714286,3.35714285714286,3.35714285714286,3.35714285714286,47,47,47,47,0.75,0.75,0.75,0.75,"less than or equal to a month",FALSE
"4379",72978,"MIAMI                         ","FL ",1,100,"COMMISSION","NULL",1,"107",72978,6,2018-01-16,2,2,2,2,1058.51,1058.51,1058.51,1058.51,2117.02,2117.02,2117.02,2117.02,1058.51,1058.51,1058.51,1058.51,2117.02,2117.02,2117.02,2117.02,0,0,0,0,0,0,0,0,3,3,3,3,6,6,6,6,0.5,0.5,0.5,0.5,"less than or equal to a month",FALSE
"4380",72981,"MIAMI                         ","FL ",1,100,"COMMISSION","0",1,"107",72981,24,2018-01-31,22,22,22,22,769.419090909091,769.419090909091,769.419090909091,769.419090909091,16927.22,16927.22,16927.22,16927.22,769.419090909091,769.419090909091,769.419090909091,769.419090909091,16927.22,16927.22,16927.22,16927.22,0,0,0,0,0,0,0,0,10.0909090909091,10.0909090909091,10.0909090909091,10.0909090909091,222,222,222,222,0.5,0.5,0.5,0.5,"less than or equal to a month",FALSE
"4381",72983,"CORONA                        ","CA ",1,100,"COMMISSION","0",1,"107",72983,58,2018-01-31,25,27,27,27,608.7316,572.195185185185,572.195185185185,572.195185185185,15218.29,15449.27,15449.27,15449.27,605.7076,569.395185185185,569.395185185185,569.395185185185,15142.69,15373.67,15373.67,15373.67,3.024,2.8,2.8,2.8,75.6,75.6,75.6,75.6,8.84,8.25925925925926,8.25925925925926,8.25925925925926,221,223,223,223,0.80952380952381,0.818181818181818,0.818181818181818,0.818181818181818,"less than or equal to 3 month",FALSE
"4382",72985,"HOUSTON                       ","TX ",1,100,"COMMISSION","NULL",0,"236",72985,34,2018-01-31,25,27,27,27,857.3224,860.365925925926,860.365925925926,860.365925925926,21433.06,23229.88,23229.88,23229.88,857.3224,860.365925925926,860.365925925926,860.365925925926,21433.06,23229.88,23229.88,23229.88,0,0,0,0,0,0,0,0,14.64,14.5925925925926,14.5925925925926,14.5925925925926,366,394,394,394,0.5,0.5,0.5,0.5,"less than or equal to 3 month",FALSE
"4383",72986,"LONDONDERRY                   ","NH ",1,0,"          ","0",1,"107",72986,26,2018-01-30,15,15,15,15,758,758,758,758,11370,11370,11370,11370,758,758,758,758,11370,11370,11370,11370,0,0,0,0,0,0,0,0,1.86666666666667,1.86666666666667,1.86666666666667,1.86666666666667,28,28,28,28,0.5,0.5,0.5,0.5,"less than or equal to a month",FALSE
"4384",72988,"CLIFTON                       ","NJ ",1,100,"COMMISSION","NULL",1,"107",72988,34,2018-01-31,17,20,20,20,869.705882352941,909.45,909.45,909.45,14785,18189,18189,18189,869.705882352941,909.45,909.45,909.45,14785,18189,18189,18189,0,0,0,0,0,0,0,0,14.4705882352941,14.6,14.6,14.6,246,292,292,292,0.4375,0.473684210526316,0.473684210526316,0.473684210526316,"less than or equal to 3 month",FALSE
"4385",72993,"VIRGINIA BEACH                ","VA ",1,100,"COMMISSION","NULL",1,"107",72993,19,2018-01-27,4,4,4,4,851,851,851,851,3404,3404,3404,3404,851,851,851,851,3404,3404,3404,3404,0,0,0,0,0,0,0,0,14.5,14.5,14.5,14.5,58,58,58,58,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,"less than or equal to a month",FALSE
"4386",73001,"PROVIDENCE                    ","RI ",1,100,"COMMISSION","NULL",1,"107",73001,34,2018-01-31,19,20,20,20,920.842105263158,917.7,917.7,917.7,17496,18354,18354,18354,862.105263157895,861.9,861.9,861.9,16380,17238,17238,17238,58.7368421052632,55.8,55.8,55.8,1116,1116,1116,1116,13.3684210526316,13.25,13.25,13.25,254,265,265,265,0.5,0.473684210526316,0.473684210526316,0.473684210526316,"less than or equal to 3 month",FALSE
"4387",73002,"RIALTO                        ","CA ",1,100,"COMMISSION","0",1,"107",73002,44,2018-01-31,30,35,35,35,800.877333333333,725.518857142857,725.518857142857,725.518857142857,24026.32,25393.16,25393.16,25393.16,799.197333333333,724.078857142857,724.078857142857,724.078857142857,23975.92,25342.76,25342.76,25342.76,1.68,1.44,1.44,1.44,50.4,50.4,50.4,50.4,12.2,11.2857142857143,11.2857142857143,11.2857142857143,366,395,395,395,0.75,0.78125,0.78125,0.78125,"less than or equal to 3 month",FALSE
"4388",73003,"RICHMOND                      ","VA ",1,100,"COMMISSION","NULL",1,"107",73003,23,2018-01-31,11,11,11,11,475.044545454545,475.044545454545,475.044545454545,475.044545454545,5225.49,5225.49,5225.49,5225.49,475.044545454545,475.044545454545,475.044545454545,475.044545454545,5225.49,5225.49,5225.49,5225.49,0,0,0,0,0,0,0,0,9.90909090909091,9.90909090909091,9.90909090909091,9.90909090909091,109,109,109,109,0.5,0.5,0.5,0.5,"less than or equal to a month",FALSE
"4390",73010,"HOMESTEAD                     ","FL ",1,100,"COMMISSION","NULL",0,"236",73010,30,2018-01-31,18,18,18,18,772.666666666667,772.666666666667,772.666666666667,772.666666666667,13908,13908,13908,13908,772.666666666667,772.666666666667,772.666666666667,772.666666666667,13908,13908,13908,13908,0,0,0,0,0,0,0,0,14.5555555555556,14.5555555555556,14.5555555555556,14.5555555555556,262,262,262,262,0.466666666666667,0.466666666666667,0.466666666666667,0.466666666666667,"less than or equal to a month",FALSE
"4391",73018,"CHESTERFIELD                  ","VA ",1,100,"COMMISSION","NULL",1,"107",73018,33,2018-01-31,27,28,28,28,287.851851851852,281.714285714286,281.714285714286,281.714285714286,7772,7888,7888,7888,287.851851851852,281.714285714286,281.714285714286,281.714285714286,7772,7888,7888,7888,0,0,0,0,0,0,0,0,4.22222222222222,4.14285714285714,4.14285714285714,4.14285714285714,114,116,116,116,0.571428571428571,0.571428571428571,0.571428571428571,0.571428571428571,"less than or equal to 3 month",FALSE
