"","Driver_ID","dr_city","dr_state","dr_contract","dr_commission","dr_paytype","dr_wkbase","dr_onduty","dr_status","tenure.in_days.","last_ride","rides_in_last_1_month","rides_in_last_3_month","rides_in_last_6_month","rides_in_last_1_year","average_total_payment_1_month.","average_total_payment_3_month.","average_total_payment_6_month.","average_total_payment_1_year.","sum_total_payment_1_month.","sum_total_payment_3_month.","sum_total_payment_6_month.","sum_total_payment_1_year.","average_standard_payment_1_month.","average_standard_payment_3_month.","average_standard_payment_6_month.","average_standard_payment_1_year.","sum_standard_payment_1_month.","sum_standard_payment_3_month.","sum_standard_payment_6_month.","sum_standard_payment_1_year.","average_non_standard_payment_1_month.","average_non_standard_payment_3_month.","average_non_standard_payment_6_month.","average_non_standard_payment_1_year.","sum_non_standard_payment_1_month.","sum_non_standard_payment_3_month.","sum_non_standard_payment_6_month.","sum_non_standard_payment_1_year.","average_jobs_1_month.","average_jobs_3_month.","average_jobs_6_month.","average_jobs_1_year.","total_jobs_1_month.","total_jobs_3_month.","total_jobs_6_month.","total_jobs_1_year.","average_satisfaction_1_month.","average_satisfaction_3_month.","average_satisfaction_6_month.","average_satisfaction_1_year.","Tenure.in_categories.","churn_status"
"65",56920,"BROOKLYN","NY",1,100,"COMMISSION","Not Specified",1,"107",1,2017-12-06,0,0,0,1,0,0,0,925.84,0,0,0,925.84,0,0,0,925.84,0,0,0,925.84,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,14,0.5,0.5,0.5,1,"less than or equal to a month",TRUE
"66",56931,"PERTH AMBOY","NJ",1,100,"COMMISSION","0",1,"107",187,2017-12-05,0,0,0,8,0,0,0,547.32125,0,0,0,4378.57,0,0,0,547.32125,0,0,0,4378.57,0,0,0,0,0,0,0,0,0,0,0,9.125,0,0,0,73,0.5,0.5,0.5,0.8,"more than 6 month",TRUE
"67",57008,"DUMMY","NJ",1,0,"Not Specified","Not Specified",1,"107",102,2017-12-16,0,0,0,10,0,0,0,94.724,0,0,0,947.24,0,0,0,91.616,0,0,0,916.16,0,0,0,3.108,0,0,0,31.08,0,0,0,5.1,0,0,0,51,0.5,0.5,0.5,0.5,"less than or equal to 6 month",TRUE
"68",57012,"DUMMY","NJ",1,0,"Not Specified","Not Specified",1,"107",139,2017-12-17,0,0,0,8,0,0,0,20.4775,0,0,0,163.82,0,0,0,0,0,0,0,0,0,0,0,20.4775,0,0,0,163.82,0,0,0,4.375,0,0,0,35,0.5,0.5,0.5,1,"less than or equal to 6 month",TRUE
"69",57149,"MIAMI","FL",1,100,"COMMISSION","0",1,"107",1,2017-11-05,0,0,0,1,0,0,0,456,0,0,0,456,0,0,0,456,0,0,0,456,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,16,0.5,0.5,0.5,1,"less than or equal to a month",TRUE
"70",57199,"CAPITOL HEIGHTS","MD",1,100,"COMMISSION","0",1,"107",1,2017-07-03,0,0,0,1,0,0,0,97.42,0,0,0,97.42,0,0,0,97.42,0,0,0,97.42,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.5,0.5,0.5,0.5,"less than or equal to a month",TRUE
"71",57215,"UNION<U+00A0>","NJ",1,100,"COMMISSION","0",1,"107",93,2018-02-24,0,0,1,12,0,0,776.3,615.263333333333,0,0,776.3,7383.16,0,0,776.3,613.163333333333,0,0,776.3,7357.96,0,0,0,2.1,0,0,0,25.2,0,0,7,8.91666666666667,0,0,7,107,0.5,0.5,0,0.6,"less than or equal to 6 month",TRUE
"72",57439,"PENSACOLA","FL",1,100,"COMMISSION","Not Specified",1,"107",3,2017-06-12,0,0,0,2,0,0,0,840,0,0,0,1680,0,0,0,840,0,0,0,1680,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,0,21,0.5,0.5,0.5,0.5,"less than or equal to a month",TRUE
"73",57532,"YUMA","AZ",1,100,"COMMISSION","0",1,"107",228,2018-02-09,0,0,15,43,0,0,896,749.253953488372,0,0,13440,32217.92,0,0,799.6,708.323720930233,0,0,11994,30457.92,0,0,96.4,40.9302325581395,0,0,1446,1760,0,0,11.8,11.5116279069767,0,0,177,495,0.5,0.5,0.714285714285714,0.538461538461538,"more than 6 month",TRUE
"74",57655,"FRANKLIN","MA",1,100,"COMMISSION","0",1,"107",192,2017-12-09,0,0,0,72,0,0,0,1381.77777777778,0,0,0,99488,0,0,0,1377,0,0,0,99144,0,0,0,4.77777777777778,0,0,0,344,0,0,0,16.5694444444444,0,0,0,1193,0.5,0.5,0.5,0.45,"more than 6 month",TRUE
"75",57793,"LONDON","ON",1,0,"DAILY","0",0,"236",2,2018-03-04,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,8,8,8,0.5,1,1,1,"less than or equal to a month",FALSE
"76",57801,"SALT LAKE CITY","UT",1,100,"COMMISSION","0",0,"236",299,2018-03-27,0,13,56,208,0,563.946153846154,1082.60035714286,1353.94115384615,0,7331.3,60625.62,281619.76,0,563.946153846154,1062.01535714286,1324.07365384615,0,7331.3,59472.86,275407.32,0,0,20.585,29.8675,0,0,1152.76,6212.44,0,5.46153846153846,6.03571428571429,5.95673076923077,0,71,338,1239,0.5,1,0.8,0.768595041322314,"more than 6 month",FALSE
