"","Driver_ID","dr_city","dr_state","dr_contract","dr_commission","dr_paytype","dr_wkbase","dr_onduty","dr_status","tenure.in_days.","last_ride","rides_in_last_1_month","rides_in_last_3_month","rides_in_last_6_month","rides_in_last_1_year","average_total_payment_1_month.","average_total_payment_3_month.","average_total_payment_6_month.","average_total_payment_1_year.","sum_total_payment_1_month.","sum_total_payment_3_month.","sum_total_payment_6_month.","sum_total_payment_1_year.","average_standard_payment_1_month.","average_standard_payment_3_month.","average_standard_payment_6_month.","average_standard_payment_1_year.","sum_standard_payment_1_month.","sum_standard_payment_3_month.","sum_standard_payment_6_month.","sum_standard_payment_1_year.","average_non_standard_payment_1_month.","average_non_standard_payment_3_month.","average_non_standard_payment_6_month.","average_non_standard_payment_1_year.","sum_non_standard_payment_1_month.","sum_non_standard_payment_3_month.","sum_non_standard_payment_6_month.","sum_non_standard_payment_1_year.","average_jobs_1_month.","average_jobs_3_month.","average_jobs_6_month.","average_jobs_1_year.","total_jobs_1_month.","total_jobs_3_month.","total_jobs_6_month.","total_jobs_1_year.","average_satisfaction_1_month.","average_satisfaction_3_month.","average_satisfaction_6_month.","average_satisfaction_1_year.","Tenure.in_categories."
"2879",69110,"COLLEGE PARK                  ","GA ",1,100,"COMMISSION","NULL",1,107,120,"2017-12-12",0,0,0,17,0,0,0,967.647058823529,0,0,0,16450,0,0,0,994.705882352941,0,0,0,16910,0,0,0,-27.0588235294118,0,0,0,-460,0,0,0,22.8235294117647,0,0,0,388,0.5,0.5,0.5,0,"less than or equal to 6 month"
"2880",69112,"MANASSAS                      ","VA ",1,100,"COMMISSION","NULL",0,236,35,"2017-07-24",0,0,0,27,0,0,0,856.983333333333,0,0,0,23138.55,0,0,0,856.983333333333,0,0,0,23138.55,0,0,0,0,0,0,0,0,0,0,0,10.4814814814815,0,0,0,283,0.5,0.5,0.5,0.653846153846154,"less than or equal to 3 month"
"2881",69113,"MANASSAS                      ","VA ",1,100,"COMMISSION","NULL",0,236,19,"2017-08-12",0,0,0,15,0,0,0,886.825333333333,0,0,0,13302.38,0,0,0,881.970666666667,0,0,0,13229.56,0,0,0,4.85466666666667,0,0,0,72.82,0,0,0,11.4,0,0,0,171,0.5,0.5,0.5,0.733333333333333,"less than or equal to a month"
"2882",69114,"COLLEGE PARK                  ","GA ",1,100,"COMMISSION","NULL",1,107,341,"2018-05-29",19,69,117,288,705.789473684211,812.753623188406,846.581196581197,878.159722222222,13410,56080,99050,252910,705.789473684211,821.449275362319,854.273504273504,881.284722222222,13410,56680,99950,253810,0,-8.69565217391304,-7.69230769230769,-3.125,0,-600,-900,-900,28.7368421052632,30.5942028985507,30.6324786324786,32.2013888888889,546,2111,3584,9274,0.5,0.5,0.5,0.5,"more than 6 month"
"2883",69116,"CICERO                        ","IL ",1,100,"COMMISSION","0",1,107,335,"2018-05-29",20,63,95,191,1531.595,1510.46746031746,1408.69231578947,1483.15282722513,30631.9,95159.45,133825.77,283282.19,1531.595,1508.84079365079,1406.50410526316,1436.38780104712,30631.9,95056.97,133617.89,274350.07,0,1.62666666666667,2.18821052631579,46.7650261780105,0,102.48,207.88,8932.12,13.3,13.8730158730159,12.4947368421053,12.1832460732984,266,874,1187,2327,0.875,0.906976744186046,0.88135593220339,0.807339449541284,"more than 6 month"
"2884",69117,"CICERO                        ","IL ",1,100,"COMMISSION","NULL",1,107,192,"2018-05-26",24,68,104,128,1543.99416666667,1482.65867647059,1416.02663461538,1325.372890625,37055.86,100820.79,147266.77,169647.73,1538.99416666667,1472.05191176471,1404.85875,1313.368515625,36935.86,100099.53,146105.31,168111.17,5,10.6067647058824,11.1678846153846,12.004375,120,721.26,1161.46,1536.56,9.33333333333333,8.91176470588235,8.22115384615385,8.4765625,224,606,855,1085,1,0.933333333333333,0.95,0.892857142857143,"more than 6 month"
"2885",69120,"HOWARD                        ","PA ",1,100,"COMMISSION","0",1,107,283,"2018-05-29",29,86,134,254,685.724137931035,507.06976744186,431.044776119403,470.44094488189,19886,43608,57760,119492,685.724137931035,507.06976744186,431.044776119403,470.44094488189,19886,43608,57760,119492,0,0,0,0,0,0,0,0,8.48275862068965,6.24418604651163,5.1865671641791,5.20472440944882,246,537,695,1322,0.642857142857143,0.710144927536232,0.731958762886598,0.694656488549618,"more than 6 month"
"2886",69123,"BROOKLYN PARK                 ","MN ",1,100,"COMMISSION","NULL",0,236,48,"2017-08-16",0,0,0,24,0,0,0,706.8075,0,0,0,16963.38,0,0,0,706.355833333333,0,0,0,16952.54,0,0,0,0.451666666666667,0,0,0,10.84,0,0,0,7.66666666666667,0,0,0,184,0.5,0.5,0.5,0.727272727272727,"less than or equal to 3 month"
"2887",69126,"BAKERSFIELD                   ","CA ",1,100,"COMMISSION","0",0,236,310,"2018-04-18",0,22,56,180,0,758.454545454545,680.392857142857,850.577444444444,0,16686,38102,153103.94,0,758.454545454545,679.5,826.377444444444,0,16686,38052,148747.94,0,0,0.892857142857143,24.2,0,0,50,4356,0,2.59090909090909,2.55357142857143,3.07777777777778,0,57,143,554,0.5,0.5,0.5,0.5,"more than 6 month"
"2888",69128,"FRANKLIN                      ","MA ",1,100,"COMMISSION","NULL",0,236,136,"2018-01-05",0,0,1,16,0,0,470.83,632.519375,0,0,470.83,10120.31,0,0,470.83,632.519375,0,0,470.83,10120.31,0,0,0,0,0,0,0,0,0,0,12,12.6875,0,0,12,203,0.5,0.5,0.5,0.5,"less than or equal to 6 month"
"2889",69129,"BETHLEHEM                     ","PA ",1,100,"COMMISSION","NULL",0,236,159,"2017-12-22",0,0,0,121,0,0,0,1521.86115702479,0,0,0,184145.2,0,0,0,1510.42809917355,0,0,0,182761.8,0,0,0,11.4330578512397,0,0,0,1383.4,0,0,0,17.7438016528926,0,0,0,2147,0.5,0.5,0.5,0.621359223300971,"less than or equal to 6 month"
"2890",69130,"NEW HAVEN                     ","MI ",1,100,"COMMISSION","0",1,107,200,"2018-01-25",0,0,17,137,0,0,792.815294117647,1038.40941605839,0,0,13477.86,142262.09,0,0,792.815294117647,981.514233576642,0,0,13477.86,134467.45,0,0,0,56.8951824817518,0,0,0,7794.64,0,0,13.2352941176471,14.0875912408759,0,0,225,1930,0.5,0.5,0.5,0.67741935483871,"more than 6 month"
"2891",69139,"MISSION VIEJO                 ","CA ",1,100,"COMMISSION","0",0,236,51,"2017-08-20",0,0,0,36,0,0,0,716,0,0,0,25776,0,0,0,716,0,0,0,25776,0,0,0,0,0,0,0,0,0,0,0,12.0555555555556,0,0,0,434,0.5,0.5,0.5,0.558823529411765,"less than or equal to 3 month"
"2892",69141,"CHARLOTTE                     ","NC ",1,100,"COMMISSION","NULL",0,236,74,"2017-09-01",0,0,0,42,0,0,0,1071.21428571429,0,0,0,44991,0,0,0,363.119047619048,0,0,0,15251,0,0,0,708.095238095238,0,0,0,29740,0,0,0,12.6666666666667,0,0,0,532,0.5,0.5,0.5,0.5,"less than or equal to 3 month"
"2893",69145,"HARMONY                       ","NC ",1,100,"COMMISSION","NULL",0,236,137,"2017-11-10",0,0,0,58,0,0,0,1114.20689655172,0,0,0,64624,0,0,0,664.620689655172,0,0,0,38548,0,0,0,449.586206896552,0,0,0,26076,0,0,0,11.9827586206897,0,0,0,695,0.5,0.5,0.5,0.5,"less than or equal to 6 month"
"2894",69148,"VANCOUVER                     ","WA ",1,100,"COMMISSION","NULL",0,236,130,"2017-10-28",0,0,0,96,0,0,0,568.098958333333,0,0,0,54537.5,0,0,0,476.953125,0,0,0,45787.5,0,0,0,91.1458333333333,0,0,0,8750,0,0,0,12.2708333333333,0,0,0,1178,0.5,0.5,0.5,0.5,"less than or equal to 6 month"
"2895",69151,"DAYTON                        ","TX ",1,100,"COMMISSION","NULL",0,236,157,"2017-12-14",0,0,0,131,0,0,0,673.282442748092,0,0,0,88200,0,0,0,673.282442748092,0,0,0,88200,0,0,0,0,0,0,0,0,0,0,0,14.5801526717557,0,0,0,1910,0.5,0.5,0.5,0.521008403361345,"less than or equal to 6 month"
"2896",69153,"STALLINGS                     ","NC ",1,100,"COMMISSION","0",1,107,53,"2017-08-18",0,0,0,49,0,0,0,870.530612244898,0,0,0,42656,0,0,0,870.530612244898,0,0,0,42656,0,0,0,0,0,0,0,0,0,0,0,18.1020408163265,0,0,0,887,0.5,0.5,0.5,0.512820512820513,"less than or equal to 3 month"
"2897",69154,"SAINT PAUL                    ","MN ",1,100,"COMMISSION","0",0,236,35,"2017-07-25",0,0,0,30,0,0,0,510.2,0,0,0,15306,0,0,0,510.2,0,0,0,15306,0,0,0,0,0,0,0,0,0,0,0,14.7,0,0,0,441,0.5,0.5,0.5,0.5,"less than or equal to 3 month"
